사피엔반도체,452430,반도체 제조업,Micro/Mini-LED Display Driver IC,2024.2.19,12월,이명희,http://www.sapien-semicon.com,경기도
에스피소프트,443670,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SPLA 라이센스 총판 사업,CLOUD, gDaaS 등",2024.2.15,12월,이은재,http://www.spsoft.co.kr,서울특별시
스튜디오삼익,415380,기타 생활용품 소매업,"침실가구, 거실가구, 옷장/수납, 주방가구 등",2024.2.6,12월,최정석,http://www.studiosamick.com,서울특별시
신영스팩10호,472220,금융 지원 서비스업,기업인수합병,2024.2.6,12월,여지우,,서울특별시
폰드그룹,472850,봉제의복 제조업,"의류(언더웨어, 의복, 잡화, 코스메틱 등)",2024.2.2,12월,임종민 / 김유진,http://www.pond-group.co.kr,서울특별시
IBKS제24호스팩,469480,금융 지원 서비스업,금융 지원 서비스업,2024.2.1,12월,김강민,http://www.ibks.com,서울특별시
레이저옵텍,199550,의료용 기기 제조업,레이저 기반 피부미용기기 및 질환치료기기,2024.2.1,12월,"주홍, 이창진",http://www.laseroptek.com,경기도
이닉스,452400,자동차 신품 부품 제조업,2차전지용 배터리셀 패드 등,2024.2.1,12월,강동호,http://www.inics.kr,부산광역시
포스뱅크,105760,일반 목적용 기계 제조업,"POS 단말기, KIOSK 단말기",2024.1.29,12월,은동욱,http://www.posbank.com/,서울특별시
현대힘스,460930,선박 및 보트 건조업,"선박기자재 (선박 블록, 보강재, 도장 등)",2024.1.26,12월,최지용,http://www.hyms.kr,울산광역시
HB인베스트먼트,440290,기타 금융업,벤처투자조합 등 조합 결성 및 운영,2024.1.25,12월,황유선,http://www.hbvc.co.kr,서울특별시
드림인사이트,362990,광고업,광고대행,2024.1.25,12월,김기철,http://bydream.co.kr/,서울특별시
대신밸런스제17호스팩,471050,금융 지원 서비스업,금융 지원 서비스업,2024.1.24,12월,이문수,,서울특별시
우진엔텍,457550,"그외 기타 전문, 과학 및 기술 서비스업",발전소 계측제어설비 정비 서비스,2024.1.24,12월,신상연,http://www.woojinntec.com/,경기도
한빛레이저,452190,특수 목적용 기계 제조업,산업용 레이저 가공장비,2024.1.4,12월,김정묵,http://www.hblaser.co.kr,대전광역시
IBKS제23호스팩,467930,금융 지원 서비스업,기업인수 및 합병,2023.12.22,12월,이진욱,http://www.ibks.com,서울특별시
하나30호스팩,469880,금융 지원 서비스업,기업인수합병,2023.12.22,12월,전신웅,,서울특별시
씨싸이트,109670,봉제의복 제조업,니트류 OEM,2023.12.21,12월,김상기,http://www.c-site.co.kr,서울특별시
블루엠텍,439580,기타 전문 도매업,의약품 유통업,2023.12.13,12월,"김현수, 정병찬",http://www.bluemtec.com,경기도
LS머트리얼즈,417200,전자부품 제조업,울트라커패시터(셀 및 모듈),2023.12.12,12월,홍영호,,경기도
케이엔에스,432470,특수 목적용 기계 제조업,이차전지 자동화 설비,2023.12.6,12월,정봉진,http://knssystem.com,경기도
교보15호스팩,465320,금융 지원 서비스업,기업인수합병,2023.12.5,12월,김상도,,서울특별시
와이바이오로직스,338840,자연과학 및 공학 연구개발업,항체의약품 및 항체후보물질 연구개발,2023.12.5,12월,"박영우, 장우익",http://ybiologics.com,대전광역시
삼성스팩9호,468510,금융 지원 서비스업,기업인수합병,2023.12.4,12월,오정헌,,서울특별시
에이텀,355690,전자부품 제조업,평판형 트랜스,2023.12.1,06월,한택수,http://www.iatum.com/,경기도
엔에이치스팩30호,466910,금융 지원 서비스업,금융지원서비스업,2023.12.1,12월,조선희,,서울특별시
에이에스텍,453860,기타 화학제품 제조업,자외선 차단제 유기 원료,2023.11.28,12월,윤종배,http://www.asteh.co.kr,충청남도
그린리소스,402490,반도체 제조업,반도체 및 디스플레이 장비 보호코팅 및 소재,2023.11.24,12월,이종수,http://www.greenresource.kr,인천광역시
제이엔비,452160,특수 목적용 기계 제조업,"진공 펌프용 유틸리티 장치(Stacker 등), 정밀가공 부품",2023.11.24,12월,이정범,http://www.jnbeng.com/,경기도
한선엔지니어링,452280,기타 금속 가공제품 제조업,"계장용 피팅 및 밸브, 모듈",2023.11.24,12월,이제훈,http://www.slok.co.kr,부산광역시
에코아이,448280,기타 전문 서비스업,탄소배출권 및 탄소배출권 관련 컨설팅,2023.11.21,12월,이수복,http://www.ecoeye.com,서울특별시
스톰테크,352090,플라스틱제품 제조업,"정수기 피팅, 밸브, 파우셋 등 부품",2023.11.20,12월,"강기환, 최준수",http://www.stormtec.co.kr/,서울특별시
캡스톤파트너스,452300,기타 금융업,벤처투자조합 등 조합 결성 및 운영,2023.11.15,12월,송은강,http://cspartners.co.kr,서울특별시
에스와이스틸텍,365330,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크플레이트,2023.11.13,12월,홍성균,http://systeeltech.com/,충청북도
에이직랜드,445090,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",2023.11.13,12월,이종민,http://www.asicland.com,경기도
한국제13호스팩,464440,금융 지원 서비스업,기업인수합병,2023.11.13,12월,김장하,,서울특별시
메가터치,446540,일차전지 및 축전지 제조업,"배터리 핀, 반도체 핀",2023.11.9,12월,윤재홍,http://www.megatouch.co.kr/,충청남도
비아이매트릭스,413640,소프트웨어 개발 및 공급업,로우코드 기반 코딩 자동화 솔루션 등,2023.11.9,12월,"배영근, 김범재",http://www.bimatrix.co.kr,서울특별시
컨텍,451760,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","지상국 시스템 엔지니어링 솔루션, 위성영상 생성을 위한 데이터처리 솔루션",2023.11.9,12월,이성희,http://kr.contec.kr/,대전광역시
큐로셀,372320,자연과학 및 공학 연구개발업,CAR-T 세포치료제,2023.11.9,12월,김건수,http://curocellbtx.com,대전광역시
쏘닉스,88280,반도체 제조업,RF필터 파운드리,2023.11.7,12월,양형국,http://www.sawnics.com,경기도
KB제27호스팩,464680,금융 지원 서비스업,기업인수합병,2023.11.3,12월,이태영,,서울특별시
세니젠,188260,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2023.11.3,12월,박정웅,http://sanigen.kr,경기도
신시웨이,290560,소프트웨어 개발 및 공급업,DB보안솔루션 등,2023.11.3,12월,정재훈,,서울특별시
유진테크놀로지,240600,기타 금속 가공제품 제조업,이차전지 정밀금형 외,2023.11.2,12월,"여현국, 이미연",http://www.yujintechnology.com/,충청북도
유투바이오,221800,기타 과학기술 서비스업,"체외진단검사서비스, 의료IT솔루션",2023.11.2,12월,김진태,http://www.u2bio.com,서울특별시
퀄리타스반도체,432720,반도체 제조업,초고속 통신용 반도체 IP,2023.10.27,12월,김두호,http://q-semi.com,경기도
